Zeit;Kanal A
(ms);(mV)

3.91675110;10.98487000
3.92175110;10.98487000
3.92675110;10.61270000
3.93175110;10.05413000
3.93675110;10.23991000
3.94175110;9.86774200
3.94675110;9.30917700
3.95175110;8.56422200
3.95675110;8.56422200
3.96175110;8.37844500
3.96675110;7.63348900
3.97175110;7.44709600
3.97675110;7.63348900
3.98175110;6.51636300
3.98675110;6.70275500
3.99175110;5.77140700
3.99675110;6.14419300
4.00175110;5.02706700
4.00675110;5.02706700
4.01175110;4.84067400
4.01675110;4.65428200
4.02175110;4.28211100
4.02675110;4.84067400
4.03175110;4.28211100
4.03675110;4.84067400
4.04175110;5.77140700
4.04675110;5.39923700
4.05175110;5.21284400
4.05675110;6.14419300
4.06175110;5.95780000
4.06675110;5.95780000
4.07175110;5.58562900
4.07675110;5.21284400
4.08175110;5.02706700
4.08675110;4.65428200
4.09175110;4.46850300
4.09675110;3.90994000
4.10175110;4.09571800
4.10675110;3.90994000
4.11175110;3.90994000
4.11675110;3.90994000
4.12175110;4.09571800
4.12675110;3.90994000
4.13175110;4.28211100
4.13675110;3.90994000
4.14175110;4.46850300
4.14675110;3.90994000
4.15175110;3.90994000
4.15675110;4.46850300
4.16175110;4.28211100
4.16675110;3.90994000
4.17175110;2.97859200
4.17675110;3.35137800
4.18175110;2.42002900
4.18675110;2.23425200
4.19175110;2.23425200
4.19675110;2.04785900
4.20175110;2.04785900
4.20675110;2.04785900
4.21175110;0.55856290
4.21675110;0.93073320
4.22175110;0.93073320
4.22675110;0.18577760
4.23175110;-0.74434050
4.23675110;-1.30290300
4.24175110;-1.11712600
4.24675110;-2.60642200
4.25175110;-4.46850300
4.25675110;-5.39923700
4.26175110;-7.63348900
4.26675110;-8.56422200
4.27175110;-9.68134800
4.27675109;-11.35704000
4.28175109;-13.59190000
4.28675109;-13.59190000
4.29175109;-14.70903000
4.29675109;-14.15047000
4.30175109;-14.33624000
4.30675109;-13.40551000
4.31175109;-12.10199000
4.31675109;-8.19205200
4.32175109;-5.39923700
4.32675109;-2.79281500
4.33175109;0.55856290
4.33675109;2.42002900
4.34175109;5.21284400
4.34675109;6.32997000
4.35175109;7.63348900
4.35675109;8.37844500
4.36175109;7.07492600
4.36675109;5.77140700
4.37175109;4.46850300
4.37675109;4.84067400
4.38175109;1.67568900
4.38675109;0.18577760
4.39175109;-0.55856290
4.39675109;-0.18577760
4.40175109;-1.30290300
4.40675109;-0.37217020
4.41175109;0.00000000
4.41675109;0.55856290
4.42175109;1.48929600
4.42675109;2.60642200
4.43175109;3.35137800
4.43675109;3.72354800
4.44175109;4.65428200
4.44675109;5.39923700
4.45175109;5.21284400
4.45675109;5.21284400
4.46175109;3.72354800
4.46675109;3.35137800
4.47175109;3.53715500
4.47675109;3.90994000
4.48175109;2.04785900
4.48675109;2.23425200
4.49175109;1.48929600
4.49675109;1.86146600
4.50175109;1.11712600
4.50675109;1.86146600
4.51175109;1.11712600
4.51675109;0.93073320
4.52175109;1.11712600
4.52675109;1.11712600
4.53175109;0.55856290
4.53675109;0.00000000
4.54175109;-0.74434050
4.54675109;-1.30290300
4.55175109;-1.67568900
4.55675109;-3.90994000
4.56175109;-5.02706700
4.56675109;-6.70275500
4.57175109;-6.88853300
4.57675109;-7.81988100
4.58175109;-8.56422200
4.58675109;-8.19205200
